temperature_c,ph,dissolved_oxygen_mg_l,salinity_ppt,ammonia_mg_l,feed_kg_day,shrimp_age_days,stocking_density_per_m2,high_risk
28.74,7.61,4.75,15.51,0.415,32.66,88,36.0,0
25.34,7.86,6.92,12.13,0.113,44.42,73,50.4,0
30.86,7.1,5.43,22.17,0.118,51.77,97,77.1,0
27.79,8.09,5.26,13.3,0.342,24.36,103,56.1,0
27.93,7.44,6.13,12.64,0.038,55.73,31,44.1,0
26.86,7.86,6.37,15.64,0.053,46.12,106,32.5,0
27.69,7.64,5.98,23.96,0.357,32.92,117,35.8,0
29.86,8.86,6.77,19.29,0.09,44.12,110,55.2,0
28.62,8.89,5.76,17.4,0.046,39.91,112,31.7,0
29.66,7.83,5.21,9.4,0.168,53.7,35,45.0,0
29.72,7.84,6.55,11.14,0.066,36.59,88,66.6,0
31.64,7.59,4.89,10.33,0.315,45.41,64,47.3,0
28.31,8.41,5.04,25.84,0.129,32.69,128,28.8,0
26.05,7.62,7.15,21.18,0.068,27.93,109,77.7,0
31.13,7.57,7.03,12.83,0.072,44.57,29,71.4,0
28.34,8.34,4.99,14.61,0.162,28.55,123,52.5,0
31.23,7.5,4.43,13.05,0.1,54.01,93,64.1,0
29.77,7.78,6.83,12.68,0.089,50.88,75,41.0,0
28.74,6.93,6.0,20.76,0.208,30.52,63,55.9,0
29.7,8.19,5.39,16.27,0.345,45.21,69,38.6,0
32.9,8.87,4.6,30.49,0.187,30.45,102,24.7,1
33.15,8.2,5.41,25.5,0.061,17.94,101,83.9,0
29.14,8.6,4.97,25.86,0.043,33.04,76,23.9,0
29.32,7.33,4.17,22.03,0.199,41.25,129,49.5,0
31.15,7.93,5.16,15.46,0.187,49.82,37,49.3,0
27.31,7.28,5.33,21.59,0.084,44.24,61,52.7,0
29.67,7.67,4.53,15.91,0.102,55.62,81,43.7,0
28.95,8.22,6.13,27.78,0.065,27.28,29,43.8,0
29.63,7.86,6.61,20.43,0.044,36.35,69,47.1,0
27.33,7.02,6.21,19.57,0.069,66.67,110,52.2,0
25.82,7.08,4.65,18.76,0.005,13.03,91,45.0,0
24.85,7.04,5.94,28.44,0.275,35.22,95,44.0,1
26.77,8.07,5.1,9.4,0.031,25.93,29,25.2,0
28.08,8.94,3.46,29.03,0.115,39.07,27,75.2,1
28.41,8.55,5.84,16.88,0.011,35.48,63,53.0,0
32.87,6.76,5.18,9.56,0.182,51.03,48,48.1,0
31.21,8.58,8.24,13.49,0.224,45.83,11,35.6,0
27.08,8.32,6.82,8.1,0.123,22.42,76,29.9,0
29.7,6.95,5.89,21.92,0.109,33.18,100,57.9,0
28.19,7.63,5.31,11.77,0.064,42.0,97,42.6,0
28.43,8.4,5.2,19.01,0.27,53.09,22,54.3,0
29.37,8.1,3.75,24.81,0.024,78.49,103,24.7,0
30.24,7.08,2.83,13.97,0.079,52.54,55,68.2,1
28.32,8.14,3.91,16.39,0.058,26.81,28,58.5,0
31.13,6.62,4.94,10.18,0.056,40.59,66,43.8,0
26.72,7.68,2.37,15.67,0.265,44.71,36,52.0,1
29.01,8.43,4.32,33.44,0.104,34.21,90,56.1,0
34.2,7.81,4.69,22.67,0.064,49.05,99,24.9,0
29.45,7.53,4.73,16.41,0.15,7.93,97,70.2,0
31.87,8.29,4.17,14.33,0.14,50.3,23,52.2,0
29.18,8.34,4.57,17.74,0.221,34.85,51,34.4,0
30.16,8.52,7.15,18.78,0.162,40.35,69,28.6,0
28.89,8.28,5.83,15.49,0.108,63.99,128,59.8,0
28.66,8.39,4.3,21.18,0.114,23.08,75,48.2,0
27.44,8.2,4.91,12.28,0.157,46.09,88,52.2,0
29.86,7.95,4.96,12.25,0.049,53.91,50,45.4,0
27.3,7.85,4.04,20.22,0.138,44.56,45,30.0,0
30.33,7.67,4.04,10.99,0.34,17.79,105,52.6,0
31.17,7.13,6.26,22.37,0.123,62.26,110,42.0,0
29.73,7.27,4.48,17.91,0.086,38.83,16,44.7,0
28.43,7.64,3.63,7.03,0.085,34.09,74,80.7,0
29.91,7.93,4.95,18.66,0.152,37.34,103,58.0,0
28.38,8.59,5.15,7.89,0.132,36.27,28,58.9,0
30.87,7.78,2.53,22.16,0.188,24.15,87,85.8,1
25.34,8.35,4.95,16.51,0.068,44.47,66,50.8,0
28.33,8.39,6.08,29.11,0.099,33.04,70,46.8,0
25.02,7.67,5.56,24.43,0.212,52.06,81,34.8,0
26.01,8.13,7.79,11.64,0.224,49.76,114,38.2,0
31.73,7.67,6.56,5.88,0.226,66.39,20,14.3,0
30.79,8.53,6.81,13.47,0.196,38.83,34,56.9,0
27.56,8.15,8.5,10.67,0.201,29.95,51,26.0,0
25.99,7.15,5.95,28.95,0.138,19.95,106,58.5,1
23.07,7.89,5.2,17.94,0.03,74.9,81,44.4,0
27.91,8.71,6.22,23.6,0.033,51.93,32,46.9,0
33.84,7.7,4.3,16.29,0.121,31.61,12,44.4,0
29.87,8.05,5.13,16.92,0.126,67.4,128,65.8,0
27.88,8.1,4.19,17.8,0.054,62.34,26,63.1,0
29.93,7.23,5.5,24.64,0.058,21.73,13,44.6,0
25.88,8.08,4.19,19.87,0.107,30.7,58,31.5,0
28.41,7.03,4.14,11.66,0.478,40.02,76,58.9,0
29.2,7.46,5.52,27.74,0.045,25.95,41,30.4,0
28.83,8.39,4.83,16.24,0.082,40.55,30,21.7,0
30.58,8.0,2.59,15.27,0.221,52.68,20,52.5,0
29.69,7.63,3.18,2.0,0.193,21.4,58,63.3,1
30.34,8.05,3.57,21.81,0.146,46.4,124,38.9,0
27.62,7.77,3.9,18.61,0.017,59.53,27,51.1,0
30.8,7.81,5.52,18.6,0.094,48.0,78,38.8,0
32.26,8.16,5.27,15.58,0.392,40.87,33,55.8,0
27.06,7.4,6.33,14.55,0.056,31.98,90,61.4,0
27.22,7.82,5.94,15.78,0.054,54.46,17,41.1,0
31.67,7.63,6.34,20.78,0.33,24.35,34,29.6,0
28.62,6.93,5.76,21.83,0.107,45.64,10,23.1,0
31.81,7.29,5.26,16.61,0.019,42.38,87,58.9,0
28.11,8.66,6.37,23.69,0.04,58.88,96,28.0,0
31.91,8.01,6.15,17.53,0.069,33.26,30,50.6,0
29.26,7.07,5.47,14.97,0.141,34.53,64,56.7,0
29.52,6.95,6.59,19.19,0.097,23.37,45,37.5,0
32.13,7.74,2.07,9.84,0.052,48.56,15,42.5,1
28.28,8.66,4.64,19.4,0.098,35.64,14,60.0,0
27.12,7.7,4.62,8.75,0.056,29.07,122,32.9,0
28.1,8.52,6.44,11.83,0.408,30.5,87,31.4,0
29.9,7.99,6.96,5.89,0.038,50.06,89,41.5,0
25.87,8.06,3.19,16.95,0.077,25.46,45,64.2,1
30.27,7.07,6.76,27.66,0.068,26.79,41,69.2,0
27.92,8.32,3.54,17.3,0.069,55.45,105,43.5,0
31.3,7.62,3.57,21.86,0.042,39.51,62,34.3,0
24.21,8.27,4.71,32.11,0.312,56.33,22,61.0,1
27.43,7.35,4.6,20.42,0.504,36.61,68,20.0,0
25.63,7.9,3.05,13.41,0.154,41.98,72,48.7,1
27.35,7.99,5.81,14.23,0.144,44.34,78,44.3,0
29.5,7.72,5.85,18.0,0.023,62.81,74,64.4,0
28.64,8.02,6.32,14.2,0.307,61.59,112,65.9,1
28.49,7.65,4.46,14.65,0.056,59.3,39,30.9,0
28.68,7.44,4.95,23.91,0.02,32.57,80,47.5,0
29.41,8.68,4.96,24.16,0.176,27.2,116,36.4,0
26.98,8.38,7.11,8.12,0.251,53.41,127,40.6,0
30.41,7.38,1.46,13.09,0.304,62.65,125,54.3,1
30.33,8.11,3.8,15.22,0.078,59.44,97,40.0,0
29.77,7.39,5.01,21.59,0.07,42.2,22,47.9,0
30.11,7.15,3.64,24.86,0.135,52.92,128,59.4,0
29.59,8.37,4.68,34.21,0.097,53.18,13,67.7,0
33.07,6.86,4.84,15.21,0.179,44.23,76,49.3,0
28.83,8.31,4.18,15.51,0.136,44.89,63,46.8,0
28.39,7.66,5.08,21.53,0.052,43.47,91,28.4,0
27.49,7.68,5.79,13.91,0.311,30.18,103,68.8,0
26.94,8.03,4.7,17.15,0.18,31.71,98,52.4,0
26.51,8.12,4.43,15.51,0.246,31.48,37,47.0,0
27.22,7.35,4.79,2.27,0.053,18.01,100,46.3,0
28.86,8.19,4.99,18.74,0.176,44.14,100,50.4,0
29.67,7.86,2.82,16.91,0.213,41.39,12,56.6,0
29.1,7.11,5.58,25.63,0.132,53.43,86,58.4,0
27.47,7.71,4.44,18.03,0.042,60.91,25,69.2,0
30.8,8.56,6.58,10.47,0.122,61.86,77,48.6,0
30.48,8.72,5.74,16.45,0.199,63.28,37,71.3,0
28.68,8.19,6.46,5.45,0.259,30.64,53,60.9,1
27.69,7.15,3.74,10.73,0.026,20.52,42,44.1,0
30.1,8.07,4.54,21.81,0.13,55.96,113,20.0,0
29.38,8.27,3.45,16.52,0.033,62.73,118,46.3,0
26.1,8.2,4.12,23.54,0.201,65.34,105,68.4,0
28.86,8.23,6.57,6.2,0.24,49.27,96,33.4,0
29.52,8.0,6.86,16.55,0.048,12.05,53,46.2,0
27.2,7.76,3.56,15.15,0.04,47.48,27,47.5,0
29.38,7.47,4.43,23.74,0.067,50.33,78,59.1,0
26.09,6.76,4.9,22.04,0.1,60.78,61,39.2,0
31.67,7.99,5.73,21.85,0.06,63.44,43,32.0,0
31.5,7.9,2.8,27.25,0.214,55.64,39,53.6,0
28.49,8.11,3.0,15.79,0.26,33.19,29,33.8,1
29.73,7.06,5.61,26.01,0.126,26.56,109,17.5,0
24.18,8.15,2.56,11.73,0.061,50.01,48,72.6,1
26.69,8.93,4.44,11.51,0.097,30.11,120,58.9,0
28.41,7.84,5.2,22.52,0.126,64.13,90,73.3,0
26.86,7.77,5.52,8.97,0.094,16.43,29,58.1,0
30.43,7.97,4.82,21.44,0.108,50.5,17,55.2,0
32.99,8.92,4.54,18.61,0.245,46.79,59,50.5,1
26.65,7.24,6.06,24.43,0.058,38.9,19,42.2,0
27.33,7.91,5.36,17.64,0.431,28.12,124,52.7,0
29.47,7.36,4.19,18.34,0.129,11.07,118,36.7,0
32.22,7.5,5.05,21.06,0.09,34.03,88,29.0,0
26.56,7.77,5.48,14.02,0.057,34.29,45,40.0,0
29.5,8.54,7.15,13.76,0.061,58.68,114,64.4,0
32.64,8.79,5.98,20.85,0.116,30.26,87,26.5,1
25.7,8.05,6.52,17.82,0.128,48.79,52,26.8,0
26.44,7.59,4.24,15.56,0.087,22.62,115,53.9,0
28.15,9.17,4.34,17.5,0.032,49.2,35,38.8,0
27.96,7.56,4.71,27.57,0.116,8.43,78,52.3,0
30.63,7.49,4.82,15.34,0.062,73.43,92,59.8,0
29.48,6.82,3.74,15.17,0.019,39.88,118,51.9,0
25.45,8.57,6.58,7.76,0.184,5.0,26,35.5,1
30.03,8.33,6.1,17.75,0.022,31.23,44,64.2,0
27.84,9.13,4.62,21.94,0.084,28.87,110,56.1,0
31.55,7.04,5.8,23.02,0.105,32.16,69,45.4,0
27.74,8.6,5.28,18.65,0.285,36.53,100,44.7,1
27.73,7.84,5.9,23.74,0.02,32.06,102,50.6,0
30.08,8.24,3.32,22.39,0.199,29.75,46,40.3,0
30.53,6.89,4.82,24.68,0.222,24.62,49,20.5,0
29.9,8.61,4.93,23.91,0.346,54.33,69,56.3,1
25.63,8.23,5.78,27.42,0.253,60.02,13,55.4,1
30.08,7.78,4.21,16.98,0.108,38.18,105,10.5,0
26.93,8.15,1.88,10.04,0.205,41.74,23,52.7,0
29.47,7.38,3.65,21.98,0.295,25.11,122,71.3,1
26.15,7.48,4.92,22.68,0.014,43.07,103,28.1,0
29.89,7.55,5.08,27.42,0.032,45.45,52,43.9,0
27.39,6.78,7.1,25.69,0.138,38.71,18,42.3,0
26.43,8.27,5.73,29.67,0.22,47.94,104,69.9,0
30.43,8.46,5.1,21.72,0.179,46.63,63,61.8,0
29.48,7.41,4.96,19.37,0.148,26.19,33,31.8,0
27.77,7.99,6.38,9.69,0.343,59.9,61,50.1,0
31.9,7.65,4.26,19.85,0.087,38.89,118,79.5,0
28.12,7.98,4.82,14.68,0.06,67.13,92,35.6,0
29.06,7.45,3.64,19.27,0.073,48.31,92,44.8,0
29.54,7.31,6.77,18.33,0.141,71.56,71,52.7,0
27.76,8.38,5.49,20.83,0.105,59.63,28,35.8,0
29.94,7.76,4.12,17.42,0.229,45.41,123,71.4,0
27.93,8.91,4.86,23.61,0.063,31.15,98,37.9,0
28.18,7.83,5.64,2.0,0.155,31.48,71,24.2,0
31.73,7.29,4.69,19.14,0.206,50.0,96,37.1,0
26.92,8.47,4.33,25.21,0.294,44.15,53,54.8,0
24.17,8.15,4.18,29.22,0.038,33.16,99,33.0,0
32.22,8.2,5.42,22.39,0.072,54.5,126,49.5,0
34.1,8.45,4.55,28.11,0.099,42.58,51,53.4,0
28.19,7.44,4.43,19.01,0.027,54.59,11,26.9,0
25.13,7.73,3.33,18.02,0.147,27.37,98,36.5,1
28.38,7.71,5.1,21.18,0.146,56.99,112,50.2,0
28.43,7.09,4.77,17.98,0.136,49.51,109,55.5,0
28.62,7.66,4.6,13.31,0.094,59.96,127,36.9,0
26.77,8.54,5.25,14.91,0.272,56.66,51,47.3,0
30.16,7.93,5.94,11.33,0.074,40.73,120,40.7,0
30.05,7.06,5.88,21.17,0.254,39.52,34,55.9,0
26.01,6.94,5.69,18.07,0.072,68.75,80,52.8,0
30.4,8.72,4.7,15.84,0.037,37.64,116,39.4,0
33.11,7.75,4.29,14.6,0.109,53.23,119,52.2,0
29.34,7.44,3.7,21.03,0.126,36.28,84,38.8,0
28.33,7.65,4.26,22.68,0.157,14.07,75,51.9,0
28.72,6.99,5.02,11.22,0.009,23.59,65,52.1,0
30.23,8.58,4.02,10.27,0.085,48.09,114,80.6,0
25.54,7.58,5.12,23.73,0.41,52.52,115,40.0,1
29.33,8.55,3.79,9.75,0.067,48.14,38,42.9,0
28.22,7.83,2.92,21.28,0.222,59.19,26,35.3,0
32.7,8.59,6.02,27.7,0.701,47.87,107,29.5,0
28.65,7.94,4.41,27.72,0.462,30.37,107,38.2,0
32.34,8.27,3.95,22.43,0.043,50.91,21,55.0,0
26.79,8.2,3.63,22.25,0.209,44.54,68,56.1,0
30.17,8.14,5.53,31.51,0.219,33.37,70,49.4,0
29.64,7.99,6.72,3.99,0.185,49.09,15,40.6,0
27.26,7.67,4.5,15.21,0.036,43.19,89,37.6,0
29.35,8.85,4.73,23.09,0.135,32.92,126,31.2,0
31.43,7.3,6.34,15.98,0.135,39.33,35,36.6,0
28.35,7.8,2.74,25.44,0.031,63.2,103,25.6,0
25.62,7.81,7.46,17.76,0.09,62.71,19,65.4,1
28.96,8.02,8.06,18.79,0.14,44.82,35,72.6,0
27.2,7.56,1.62,16.35,0.106,42.86,77,16.0,0
28.32,7.97,4.88,14.86,0.195,20.5,120,49.3,0
28.84,7.71,4.1,14.72,0.088,67.79,116,49.1,0
25.59,6.93,4.67,19.63,0.125,57.55,122,48.1,0
25.77,7.81,4.48,13.35,0.233,53.28,128,36.1,0
29.96,7.19,6.01,23.72,0.377,7.88,106,60.3,0
27.95,6.85,4.86,21.92,0.036,42.61,53,51.2,0
23.87,7.88,3.86,24.6,0.19,40.09,25,60.5,1
30.57,8.07,4.78,11.23,0.076,52.24,108,33.9,0
29.54,8.09,5.64,7.8,0.158,35.23,32,24.3,0
27.57,8.11,3.52,17.97,0.033,38.52,72,51.5,0
26.37,6.74,2.94,35.0,0.276,51.29,100,30.6,1
30.67,7.05,7.49,25.6,0.056,30.4,14,60.8,0
29.7,8.89,4.2,14.67,0.236,33.39,119,13.1,0
33.77,7.22,4.83,20.55,0.038,44.9,46,38.0,0
29.84,8.14,4.5,22.37,0.026,62.08,35,35.8,0
29.78,7.42,5.69,9.79,0.096,54.13,54,40.0,0
28.67,7.84,7.22,26.22,0.136,58.13,65,48.9,0
30.63,7.45,5.72,17.0,0.491,42.95,64,50.9,0
30.25,8.11,3.1,17.46,0.134,64.43,28,54.6,1
31.5,7.88,3.27,18.14,0.043,15.88,32,56.3,0
27.96,7.55,4.5,24.87,0.209,72.33,67,42.4,0
28.13,7.22,4.66,13.47,0.309,74.28,37,76.6,0
28.04,7.95,2.85,7.76,0.053,48.85,87,65.8,1
30.58,7.13,6.02,19.94,0.23,54.48,117,40.3,0
32.0,8.04,3.64,5.74,0.282,41.43,12,42.9,0
28.08,9.24,6.87,16.19,0.213,38.86,14,40.0,0
28.15,8.54,7.28,25.12,0.064,32.84,87,50.4,0
29.63,8.2,4.69,21.47,0.137,41.26,13,30.4,0
28.51,7.75,5.55,24.25,0.158,50.34,86,33.2,0
30.9,6.73,3.46,21.72,0.27,48.3,68,12.5,1
24.5,7.07,5.78,32.46,0.068,71.8,64,39.0,0
27.35,8.51,4.38,14.47,0.234,43.5,82,61.0,0
27.44,7.37,3.64,20.39,0.103,19.67,117,42.7,0
24.36,7.42,4.64,15.37,0.085,66.66,25,43.6,0
27.07,7.71,4.42,23.74,0.121,23.69,26,49.2,0
27.17,7.22,4.59,17.63,0.007,33.61,93,30.0,0
28.6,7.13,6.19,28.31,0.011,46.08,16,45.4,0
31.23,7.77,4.02,14.82,0.016,48.26,61,58.4,0
28.51,7.31,7.17,26.44,0.164,20.32,69,49.6,0
26.94,7.39,3.34,21.56,0.094,30.8,57,59.7,1
28.89,7.37,7.02,17.81,0.065,19.79,73,64.0,0
31.1,8.09,3.73,21.25,0.112,51.33,23,54.9,0
27.05,7.67,5.0,19.57,0.238,59.75,42,34.3,0
27.18,7.7,4.39,20.14,0.108,23.67,10,39.8,0
30.12,8.13,4.57,16.76,0.042,56.93,125,74.0,0
28.56,7.72,6.0,13.79,0.545,55.96,109,49.7,0
30.29,7.65,6.87,15.99,0.117,32.11,40,47.7,0
28.97,8.06,6.49,7.9,0.284,12.26,14,32.1,1
30.4,8.17,4.49,23.05,0.214,25.93,42,43.6,0
26.93,7.72,5.23,10.59,0.081,33.07,124,55.7,0
28.98,7.84,4.02,16.69,0.373,65.13,107,45.2,0
28.58,7.37,3.76,21.89,0.07,40.23,89,37.2,0
26.57,7.33,3.57,23.04,0.161,26.9,120,40.7,0
25.87,8.22,4.45,7.35,0.145,44.22,31,62.9,0
30.37,8.04,5.31,17.45,0.156,22.57,74,55.0,0
28.3,8.05,2.61,20.76,0.33,49.72,105,53.0,1
26.96,7.95,4.94,18.31,0.12,27.34,12,51.6,0
28.81,7.83,6.9,26.06,0.138,29.51,62,27.3,0
31.26,8.18,6.4,13.07,0.144,47.63,52,49.1,0
24.44,8.31,4.27,5.71,0.477,68.25,31,61.0,1
26.01,8.3,3.25,22.86,0.269,74.97,36,41.1,1
27.15,7.74,5.57,14.78,0.024,26.4,126,59.7,0
31.92,8.56,2.1,7.45,0.072,33.05,71,53.2,1
29.57,7.93,6.39,17.05,0.126,49.73,19,57.4,0
30.53,8.15,4.73,25.38,0.325,59.53,91,45.8,0
26.72,7.96,7.29,10.42,0.348,9.54,80,58.3,0
26.76,7.94,2.84,32.02,0.114,43.31,57,23.0,1
29.9,7.4,6.15,12.97,0.07,34.69,57,45.5,0
29.12,8.19,4.87,18.52,0.101,13.14,74,55.7,0
30.1,9.36,4.59,10.69,0.13,21.94,121,49.4,0
28.62,7.59,3.29,18.25,0.095,33.48,101,61.4,0
29.56,7.84,5.74,17.2,0.289,42.88,58,42.6,0
29.32,7.55,5.85,9.06,0.088,57.12,39,36.8,0
30.56,7.53,7.23,34.95,0.054,47.32,23,20.4,0
30.61,8.65,6.26,15.03,0.099,56.21,33,40.9,0
25.76,7.43,4.26,15.03,0.151,42.4,26,52.8,0
24.51,7.54,3.75,23.81,0.293,31.43,106,56.4,0
31.0,6.93,3.29,28.89,0.05,39.24,79,24.0,1
31.38,7.38,6.84,24.76,0.152,52.43,14,62.6,0
26.96,6.86,4.03,10.79,0.156,57.49,121,30.4,0
25.28,8.15,6.85,19.28,0.178,39.78,28,43.2,0
29.2,9.34,5.66,6.71,0.088,28.06,87,36.5,0
30.86,7.6,5.41,23.41,0.176,47.03,11,51.3,0
32.6,6.88,4.62,8.19,0.21,49.17,80,46.4,1
30.03,8.29,5.83,13.18,0.087,60.49,76,55.2,0
28.26,7.4,4.98,17.98,0.138,31.82,119,72.7,0
27.21,8.51,4.54,20.67,0.104,31.98,82,51.0,0
29.02,7.64,5.87,16.43,0.061,53.34,68,36.3,0
28.4,7.45,4.82,27.11,0.034,35.89,73,51.9,0
26.97,7.7,4.0,22.34,0.069,35.25,85,74.2,0
33.1,8.22,5.75,21.87,0.074,60.81,59,54.8,0
32.57,7.67,4.92,10.62,0.033,21.43,95,59.2,0
31.27,7.53,5.61,28.2,0.167,72.84,73,21.1,0
27.16,7.69,4.43,13.18,0.221,32.81,126,50.8,0
30.71,7.1,3.49,28.43,0.102,55.0,33,41.0,1
30.28,8.02,7.17,30.13,0.115,40.37,97,34.8,0
29.89,6.82,6.93,21.08,0.078,46.07,109,44.7,0
31.5,7.56,6.1,24.19,0.11,38.06,96,46.6,0
30.27,8.22,4.52,2.0,0.177,54.85,127,35.6,0
30.48,7.97,4.62,16.83,0.152,36.79,62,47.8,0
30.27,8.12,6.73,24.61,0.109,33.41,74,42.4,0
29.68,7.76,4.56,23.55,0.074,69.2,28,55.5,0
25.43,8.44,4.21,10.68,0.208,42.44,54,48.4,0
29.17,8.31,7.34,16.24,0.081,31.86,29,50.6,0
27.89,8.05,4.94,2.78,0.036,19.65,105,59.7,0
26.44,8.31,7.21,20.48,0.132,69.98,103,53.3,0
32.36,8.21,3.25,6.7,0.019,33.72,33,44.9,1
32.46,7.56,5.65,24.78,0.147,72.93,106,13.7,1
31.72,7.06,7.59,25.1,0.156,47.98,48,52.7,0
29.51,8.03,5.04,15.15,0.069,44.14,97,31.3,0
31.7,8.1,4.67,21.13,0.078,44.55,122,43.7,0
29.02,8.4,3.54,16.7,0.23,75.24,109,50.6,0
29.41,7.29,6.35,19.45,0.446,9.12,32,65.0,0
26.81,7.3,4.04,11.12,0.12,45.22,31,72.6,0
29.79,8.05,4.88,21.73,0.07,38.02,23,31.2,0
29.12,7.76,3.46,8.15,0.157,38.8,111,25.3,0
26.39,6.76,6.95,7.02,0.106,44.24,75,49.9,0
28.9,8.01,6.44,17.27,0.149,38.01,28,48.6,0
28.84,6.78,4.96,16.73,0.132,44.82,80,27.0,0
32.6,7.28,3.56,19.63,0.135,41.65,73,44.8,0
30.79,8.54,6.92,14.1,0.013,22.3,81,54.0,0
29.02,8.8,4.54,29.31,0.078,47.72,86,26.5,1
29.5,7.13,3.62,18.96,0.071,52.74,29,30.1,0
29.09,7.62,2.8,19.4,0.07,33.87,56,35.3,1
28.59,7.82,4.19,19.18,0.187,70.02,96,41.8,0
26.84,8.78,3.18,24.02,0.039,62.03,119,55.4,1
28.7,7.53,4.22,21.46,0.013,54.66,39,40.1,0
27.51,7.54,5.93,20.65,0.069,54.48,78,45.8,0
26.5,8.65,4.53,22.42,0.057,42.45,123,78.7,1
30.02,7.59,5.44,7.05,0.121,59.12,82,30.7,0
29.78,8.2,4.1,7.28,0.057,65.56,37,35.2,0
25.43,6.99,5.08,17.54,0.093,54.12,80,55.2,1
28.75,7.71,7.4,16.81,0.083,33.45,12,59.8,0
30.99,6.89,4.56,21.48,0.282,41.4,68,51.2,1
31.12,7.22,5.48,18.12,0.058,50.61,78,72.1,0
31.05,8.26,3.04,21.49,0.179,54.57,16,49.8,0
29.08,7.77,6.9,10.53,0.109,40.84,34,15.4,0
27.31,7.62,4.4,17.94,0.233,33.5,128,46.5,0
26.83,7.39,6.31,9.95,0.344,65.76,85,36.4,1
29.69,7.68,4.85,20.32,0.107,25.92,65,65.8,0
29.76,7.97,5.76,6.73,0.02,27.88,37,59.5,0
31.57,8.34,5.84,20.09,0.04,22.09,24,21.2,0
31.2,6.36,4.43,9.19,0.031,27.85,61,65.3,1
28.74,7.34,6.36,15.7,0.078,60.71,75,59.1,0
26.51,7.89,4.05,23.37,0.068,61.21,31,40.1,0
28.36,7.75,5.97,19.36,0.137,40.89,106,43.8,0
29.43,8.02,4.51,8.13,0.22,49.44,61,65.9,0
28.6,7.95,5.44,13.97,0.018,41.84,16,15.4,0
27.84,7.63,4.42,8.99,0.115,24.12,26,51.7,0
29.51,7.51,5.06,7.83,0.059,75.27,113,61.4,0
27.99,7.66,3.66,18.71,0.119,62.62,50,43.7,0
27.74,8.43,5.31,21.36,0.078,47.32,54,54.7,0
29.62,7.4,5.06,20.64,0.194,29.16,33,46.5,0
28.2,7.77,4.32,21.62,0.043,38.63,106,33.2,0
29.49,7.9,4.93,17.93,0.063,31.61,107,32.9,0
29.55,8.66,5.17,16.36,0.101,43.46,39,55.7,0
26.72,7.63,4.23,11.56,0.085,46.65,97,35.5,0
28.04,8.33,4.84,15.36,0.101,36.88,64,22.1,0
31.88,8.48,3.74,10.07,0.023,20.18,30,46.8,0
26.68,7.76,7.93,12.93,0.308,73.98,105,37.3,0
24.77,7.68,6.32,18.53,0.073,45.56,19,27.0,0
25.28,7.62,5.34,17.29,0.045,48.85,114,46.1,0
29.06,7.66,6.47,35.0,0.103,35.66,13,56.5,0
29.06,8.27,2.53,9.93,0.116,18.57,48,45.3,1
28.76,7.93,1.8,17.25,0.404,40.75,37,29.0,1
31.43,7.93,4.5,9.46,0.246,37.15,38,52.2,0
23.65,7.18,3.28,15.67,0.084,52.64,67,60.5,1
29.79,7.27,4.7,15.92,0.356,55.59,100,78.2,1
32.12,8.98,5.26,23.07,0.309,53.48,57,66.6,1
26.74,7.7,6.15,15.3,0.046,56.82,71,29.9,0
28.24,7.37,3.58,16.85,0.469,69.05,126,57.9,0
27.49,8.59,5.5,15.42,0.074,47.85,69,48.8,0
27.21,7.95,5.02,9.59,0.127,58.49,105,27.7,0
28.35,8.12,5.43,14.09,0.276,49.41,56,49.3,0
31.85,7.72,4.35,15.71,0.018,13.5,19,73.8,0
32.67,7.62,6.73,18.44,0.101,39.68,40,62.9,0
28.33,7.71,4.87,21.35,0.143,28.98,29,29.8,0
32.81,7.04,7.22,16.59,0.24,45.47,118,45.2,0
29.07,7.75,4.01,16.49,0.112,30.13,13,52.4,0
32.51,7.96,5.93,7.68,0.018,51.09,108,19.1,0
28.81,8.82,4.93,21.24,0.402,56.72,26,19.6,1
29.26,7.85,4.59,13.82,0.115,60.05,28,47.3,0
29.73,6.52,5.79,22.48,0.147,66.29,73,47.5,0
35.36,7.75,4.63,25.9,0.026,16.86,19,17.4,0
30.7,9.31,1.67,16.87,0.299,24.01,19,50.8,1
27.59,8.28,1.17,11.86,0.075,85.92,103,61.3,1
30.94,7.35,6.59,17.9,0.06,57.14,17,41.7,0
28.28,8.13,6.54,20.09,0.254,45.37,81,45.9,0
28.02,7.39,7.36,16.11,0.03,42.48,24,53.6,0
30.82,7.06,4.98,14.62,0.149,41.15,20,51.6,0
29.06,7.61,3.38,21.38,0.058,12.99,90,20.0,0
29.56,7.85,4.48,20.99,0.163,30.42,57,31.4,0
29.03,6.77,5.01,15.92,0.196,40.32,12,39.1,0
29.67,7.17,3.74,8.08,0.073,31.26,91,32.1,0
29.85,7.81,7.06,20.74,0.287,33.22,126,67.0,1
25.13,7.58,7.8,13.4,0.115,80.38,77,54.5,0
30.33,8.02,5.6,19.29,0.406,38.23,55,28.4,1
27.04,7.13,4.99,18.91,0.256,46.17,111,41.8,0
26.12,8.19,3.38,6.67,0.126,45.64,50,62.0,1
28.88,7.15,6.93,18.49,0.125,50.84,83,35.3,0
29.17,8.7,5.1,21.09,0.033,34.84,66,57.8,0
27.61,6.86,4.64,21.82,0.253,60.7,97,65.7,1
30.66,7.2,5.6,18.7,0.067,48.65,72,63.2,0
26.32,8.03,4.27,6.14,0.137,22.69,67,47.7,0
